origin,system,status,count
Soviet Union,120mm 2B16 Nona-K howitzer,abandoned,1
Soviet Union,120mm 2B16 Nona-K howitzer,captured,1
Soviet Union,120mm 2S9 Nona,captured,1
Soviet Union,120mm 2S9 Nona,damaged,1
Soviet Union,122mm 2S1 Gvozdika,captured,1
Soviet Union,122mm 2S1 Gvozdika,damaged,1
Soviet Union,122mm BM-21 'Grad',captured,2
Soviet Union,122mm D-30 howitzer 2A18,abandoned,1
Soviet Union,122mm D-30 howitzer 2A18,captured,1
Soviet Union,152mm 2A65 Msta-B howitzer,abandoned,1
Soviet Union,152mm 2A65 Msta-B howitzer,captured,1
Soviet Union,152mm 2S19 Msta-S,captured,2
Soviet Union,152mm 2S3 Akatsiya,captured,1
Soviet Union,152mm 2S3 Akatsiya,damaged,1
Soviet Union,1V119 artillery battalion fire direction vehicle,abandoned,1
Soviet Union,1V119 artillery battalion fire direction vehicle,captured,6
Soviet Union,1V119 artillery battalion fire direction vehicle,damaged,1
Soviet Union,1V119 artillery battalion fire direction vehicle,destroyed,3
Soviet Union,1V13 battery fire control center,abandoned,2
Soviet Union,1V13 battery fire control center,captured,7
Soviet Union,1V13 battery fire control center,damaged,2
Soviet Union,1V13 battery fire control center,destroyed,4
Soviet Union,220mm BM-27 'Uragan',captured,2
Soviet Union,23mm ZU-23,captured,2
Soviet Union,2S1 with ZU-23 AA gun,abandoned,3
Soviet Union,2S1 with ZU-23 AA gun,captured,9
Soviet Union,2S1 with ZU-23 AA gun,destroyed,3
Soviet Union,9A330 Tor TLAR (for 9K330 Tor-M),captured,1
Soviet Union,9K33 Osa,captured,2
Soviet Union,9K35 Strela-10,captured,2
Soviet Union,9K38 Igla,abandoned,1
Soviet Union,9K38 Igla,captured,1
Soviet Union,9M111 Fagot,abandoned,1
Soviet Union,9M111 Fagot,captured,1
Soviet Union,9M113 Konkurs,abandoned,1
Soviet Union,9M113 Konkurs,captured,1
Soviet Union,9M114 Kokon,abandoned,1
Soviet Union,9M114 Kokon,captured,1
Soviet Union,9P149 Shturm-S ATGM carrier,abandoned,3
Soviet Union,9P149 Shturm-S ATGM carrier,captured,8
Soviet Union,9P149 Shturm-S ATGM carrier,destroyed,3
Soviet Union,9T217 transloader (for 9K33 Osa),captured,1
Soviet Union,9T452 transporter-loader (for BM-27 'Uragan' MRL),captured,1
Soviet Union,An-26 transport aircraft,captured,1
Soviet Union,BAT-2 heavy engineering vehicle,captured,3
Soviet Union,BAT-2 heavy engineering vehicle,destroyed,1
Soviet Union,BMD-2,captured,7
Soviet Union,BMD-2,damaged,1
Soviet Union,BMD-2,destroyed,2
Soviet Union,BMP-1(P),captured,7
Soviet Union,BMP-1(P),destroyed,3
Soviet Union,BMP-1Khs,abandoned,5
Soviet Union,BMP-1Khs,captured,7
Soviet Union,BMP-1Khs,destroyed,8
Soviet Union,BMP-2,captured,7
Soviet Union,BMP-2,destroyed,3
Soviet Union,BMP-2K,captured,7
