country,origin,system,status,url
NA,Russia,T-80U,destroyed,https://i.postimg.cc/4dfJWDSG/hh3.png
NA,Russia,T-80UK,destroyed,https://i.postimg.cc/cL1v8KKC/4fs.png
NA,Russia,T-80BVM,destroyed,https://i.postimg.cc/d0FgkBKX/34f.png
NA,Russia,T-90A,destroyed,https://i.postimg.cc/yYwQcbj8/99.jpg
NA,Russia,Unknown tank,destroyed,https://i.postimg.cc/pVh8rpDb/36h.png
NA,Soviet Union,BRM-1K,destroyed,https://i.postimg.cc/mrvgXNrT/6655.png
NA,Soviet Union,BMP-1Khs,destroyed,https://i.postimg.cc/jS8n67Hd/661.png
NA,Soviet Union,MT-LB,destroyed,https://i.postimg.cc/yx9rcK2s/g9.jpg
NA,Soviet Union,MT-LB with ZU-23 AA gun,destroyed,https://i.postimg.cc/59FrZ5yT/g8.jpg
NA,Soviet Union,MT-LBM 6MB,destroyed,https://i.postimg.cc/R0N4J5Np/546.jpg
NA,Soviet Union,MT-LB Ambulance,destroyed,https://i.postimg.cc/fRbh1njW/547.jpg
NA,Soviet Union,MT-LBu,destroyed,https://i.postimg.cc/rsyFds36/e1.jpg
NA,Soviet Union,1V13 battery fire control center,destroyed,https://i.postimg.cc/FsBsR9xq/e3.jpg
NA,Soviet Union,2S1 with ZU-23 AA gun,abandoned,https://i.postimg.cc/44PbCC3z/v44.png
NA,Soviet Union,9P149 Shturm-S ATGM carrier,abandoned,https://i.postimg.cc/c6ysfCQt/c9.png
NA,Russia,R-149MA1 unified command and staff vehicle,abandoned,https://i.postimg.cc/prkfqWMs/b4.jpg
NA,Russia,R-149MA3 command and staff vehicle,abandoned,https://i.postimg.cc/brDMR83Y/d4g.png
NA,Soviet Union,1V119 artillery battalion fire direction vehicle,abandoned,https://i.postimg.cc/G3jxcQTv/b55.jpg
NA,Russia,TZM-T reloader vehicle (for TOS-1A),captured,https://i.postimg.cc/Y9ZrwnNF/44334.jpg
NA,Soviet Union,Unknown BTR-D/BMD-2,captured,https://i.postimg.cc/cJfQLSyB/653.png
NA,Russia,Unknown AFV,captured,https://i.postimg.cc/CLV1kbgs/335.png
NA,Soviet Union,BMP-1(P),captured,https://i.postimg.cc/Rhx51CZ2/7799.png 
NA,Soviet Union,BMP-2,captured,https://i.postimg.cc/2SLnLCmB/659.png
NA,Soviet Union,BMP-2K,captured,https://i.postimg.cc/SR1fCMXS/m3.png
NA,Russia,BMP-3,captured,https://i.postimg.cc/xT11NQbP/f686.png
NA,Soviet Union,BMD-2,captured,https://postimg.cc/nM5FPWSC
NA,Russia,BMD-4M,captured,https://i.postimg.cc/85dw1Jvb/n9.png
