country,system,status,count
Russia,GAZ Tigr-M,captured,3
Russia,GAZ Tigr-M,destroyed,1
Russia,GMZ-3 minelayer,captured,3
Russia,GMZ-3 minelayer,destroyed,1
Russia,IMR-2 combat engineering vehicle,captured,1
Russia,IMR-2 combat engineering vehicle,destroyed,1
Russia,Iveco LMV 'Rys',captured,3
Russia,Iveco LMV 'Rys',damaged,1
Russia,Iveco LMV 'Rys',destroyed,1
Russia,K-4386 Typhoon-VDV,abandoned,1
Russia,K-4386 Typhoon-VDV,captured,3
Russia,K-4386 Typhoon-VDV,damaged,1
Russia,K-4386 Typhoon-VDV,destroyed,1
Russia,K-53949 'Linza',abandoned,1
Russia,K-53949 'Linza',captured,3
Russia,K-53949 'Linza',destroyed,1
Russia,K-53949 Typhoon-K,abandoned,1
Russia,K-53949 Typhoon-K,captured,3
Russia,K-53949 Typhoon-K,damaged,1
Russia,K-53949 Typhoon-K,destroyed,1
Russia,Ka-52 'Alligator' attack helicopter,captured,1
Russia,KamAZ-5350 with crane,abandoned,1
Russia,KamAZ-5350 with crane,captured,1
Russia,KamAZ-5350 with EOV-3523 excavator,captured,1
Russia,KamAZ-5350 with EOV-3523 excavator,damaged,1
Russia,KamAZ-5350 with KS-45719-7M crane,captured,1
Russia,KamAZ-5350 with KS-45719-7M crane,damaged,1
Russia,KamAZ-63968 'Typhoon',abandoned,2
Russia,KamAZ-63968 'Typhoon',captured,3
Russia,KamAZ-63968 'Typhoon',destroyed,1
Russia,KamAZ 4x4,captured,1
Russia,Mi-24V/P attack helicopter,captured,1
Russia,Mi-28 attack helicopter,captured,1
Russia,Mi-35M attack helicopter,captured,1
Russia,Mi-8 transport helicopter,captured,1
Russia,MP-2IM signals vehicle,captured,4
Russia,MP-2IM signals vehicle,destroyed,1
Russia,MT-LB,abandoned,5
Russia,MT-LB,captured,2
Russia,MT-LB,damaged,2
Russia,MT-LB,destroyed,5
Russia,MT-LB Ambulance,abandoned,2
Russia,MT-LB Ambulance,captured,6
Russia,MT-LB Ambulance,damaged,1
Russia,MT-LB Ambulance,destroyed,4
Russia,MT-LB with ZU-23 AA gun,abandoned,5
Russia,MT-LB with ZU-23 AA gun,captured,2
Russia,MT-LB with ZU-23 AA gun,damaged,3
Russia,MT-LB with ZU-23 AA gun,destroyed,4
Russia,MT-LBM 6MB,abandoned,3
Russia,MT-LBM 6MB,captured,4
Russia,MT-LBM 6MB,damaged,3
Russia,MT-LBM 6MB,destroyed,4
Russia,MT-LBu,abandoned,4
Russia,MT-LBu,captured,5
Russia,MT-LBu,destroyed,4
Russia,Orlan-10 reconnaissance UAV,captured,1
Russia,Pantsir-S1,captured,1
Russia,PMP floating bridge,captured,1
Russia,PMP floating bridge,destroyed,1
Russia,PTS-3 tracked amphibious transport,captured,1
Russia,PTS-3 tracked amphibious transport,damaged,1
Russia,R-149MA1 unified command and staff vehicle,abandoned,1
Russia,R-149MA1 unified command and staff vehicle,captured,8
Russia,R-149MA1 unified command and staff vehicle,destroyed,3
Russia,R-149MA3 command and staff vehicle,abandoned,1
Russia,R-149MA3 command and staff vehicle,captured,6
Russia,R-149MA3 command and staff vehicle,destroyed,3
Russia,R-166-0.5 signals vehicle,captured,4
Russia,R-166-0.5 signals vehicle,destroyed,1
Russia,R-330BMV Borisoglebsk-2B,captured,1
Russia,R-419L1 communications station,captured,4
Russia,R-419L1 communications station,destroyed,1
Russia,REM-KL armoured recovery vehicle,captured,1
Russia,REM-KL armoured recovery vehicle,destroyed,1
Russia,Su-25 close air support aircraft,captured,1
Russia,Su-30SM multirole aircraft,captured,1
Russia,Su-34 strike aircraft,captured,1
Russia,T-64BV,abandoned,18
Russia,T-64BV,captured,28
Russia,T-64BV,damaged,4
Russia,T-64BV,destroyed,89
Russia,T-72A,abandoned,20
Russia,T-72A,captured,23
Russia,T-72A,damaged,3
Russia,T-72A,destroyed,50
Russia,T-72AV,abandoned,10
Russia,T-72AV,captured,16
Russia,T-72AV,damaged,5
Russia,T-72AV,destroyed,33
Russia,T-72B,abandoned,10
Russia,T-72B,captured,13
Russia,T-72B,damaged,4
Russia,T-72B,destroyed,25
Russia,T-72B Obr. 1989,abandoned,6
Russia,T-72B Obr. 1989,captured,15
Russia,T-72B Obr. 1989,destroyed,21
Russia,T-72B3,abandoned,6
Russia,T-72B3,captured,13
Russia,T-72B3,damaged,1
Russia,T-72B3,destroyed,16
Russia,T-72B3 Obr. 2016,abandoned,6
Russia,T-72B3 Obr. 2016,captured,7
Russia,T-72B3 Obr. 2016,damaged,1
Russia,T-72B3 Obr. 2016,destroyed,15
Russia,T-80BV,abandoned,6
Russia,T-80BV,captured,7
Russia,T-80BV,damaged,1
Russia,T-80BV,destroyed,14
Russia,T-80BVM,abandoned,4
Russia,T-80BVM,captured,9
Russia,T-80BVM,damaged,1
Russia,T-80BVM,destroyed,10
Russia,T-80U,abandoned,5
Russia,T-80U,captured,7
Russia,T-80U,destroyed,14
Russia,T-80UK,abandoned,5
Russia,T-80UK,captured,7
Russia,T-80UK,damaged,2
Russia,T-80UK,destroyed,11
Russia,T-90A,abandoned,3
Russia,T-90A,captured,10
Russia,T-90A,destroyed,10
Russia,TMM-3 bridge layer,captured,1
Russia,TMM-3 bridge layer,destroyed,1
Russia,TZM-T reloader vehicle (for TOS-1A),abandoned,1
Russia,TZM-T reloader vehicle (for TOS-1A),captured,6
Russia,TZM-T reloader vehicle (for TOS-1A),destroyed,3
Russia,Unknown AFV,captured,6
Russia,Unknown AFV,destroyed,3
Russia,Unknown BTR-D/BMD-2,captured,7
Russia,Unknown BTR-D/BMD-2,destroyed,3
Russia,Unknown communications station,captured,3
Russia,Unknown communications station,destroyed,1
Russia,Unknown communications station based on the KamAZ 6x6,captured,3
Russia,Unknown communications station based on the KamAZ 6x6,destroyed,1
Russia,Unknown Mi-24/35 attack helicopter,captured,1
Russia,Unknown tank,abandoned,5
Russia,Unknown tank,captured,8
Russia,Unknown tank,destroyed,8
Russia,UR-77 'Meterorit' mine clearing vehicle,captured,3
Russia,UR-77 'Meterorit' mine clearing vehicle,destroyed,1
Russia,Ural-4320,captured,1
Russia,Ural-4320 Wrecker,abandoned,1
Russia,Ural-4320 Wrecker,captured,1
Russia,Ural-43206,captured,1
Russia,Ural-542301 tank transporter,captured,1
Russia,Ural Federal,captured,1
Russia,Vityaz DT-30 articulated tracked carrier,abandoned,1
Russia,Vityaz DT-30 articulated tracked carrier,captured,8
Russia,Vityaz DT-30 articulated tracked carrier,destroyed,4
Russia,ZALA Aero KUB-BLA loitering munition ,captured,1
Russia,ZiL-131,captured,1
Ukraine,1V119 artillery battalion fire direction vehicle,captured,1
Ukraine,1V13 battery fire control center,abandoned,1
Ukraine,1V13 battery fire control center,captured,1
Ukraine,2S1 with ZU-23 AA gun,abandoned,1
Ukraine,9P149 Shturm-S ATGM carrier,abandoned,1
Ukraine,BMD-2,captured,1
Ukraine,BMD-4M,captured,1
Ukraine,BMP-1(P),captured,1
Ukraine,BMP-1Khs,captured,4
Ukraine,BMP-1Khs,destroyed,1
Ukraine,BMP-2,captured,1
Ukraine,BMP-2K,captured,1
Ukraine,BMP-3,captured,1
Ukraine,BRM-1K,captured,4
Ukraine,BRM-1K,destroyed,1
Ukraine,BTR-80,captured,1
Ukraine,BTR-82A,captured,1
Ukraine,BTR-D,captured,1
Ukraine,BTR-MDM 'Rakushka',captured,1
Ukraine,BTR-ZD 'Skrezhet',captured,1
Ukraine,GAZ Tigr-M,captured,1
Ukraine,K-4386 Typhoon-VDV,captured,1
Ukraine,K-53949 'Linza',captured,1
Ukraine,K-53949 Typhoon-K,captured,1
Ukraine,KamAZ-63968 'Typhoon',captured,1
Ukraine,MT-LB,captured,3
Ukraine,MT-LB,destroyed,1
Ukraine,MT-LB Ambulance,captured,2
Ukraine,MT-LB Ambulance,damaged,1
Ukraine,MT-LB with ZU-23 AA gun,captured,3
Ukraine,MT-LB with ZU-23 AA gun,destroyed,1
Ukraine,MT-LBM 6MB,captured,2
Ukraine,MT-LBM 6MB,destroyed,1
Ukraine,MT-LBu,abandoned,1
Ukraine,MT-LBu,captured,1
Ukraine,R-149MA1 unified command and staff vehicle,abandoned,1
Ukraine,R-149MA3 command and staff vehicle,damaged,1
Ukraine,T-64BV,abandoned,8
Ukraine,T-64BV,captured,23
Ukraine,T-64BV,damaged,4
Ukraine,T-64BV,destroyed,40
Ukraine,T-64BV,NA,2
Ukraine,T-72A,abandoned,2
Ukraine,T-72A,captured,20
Ukraine,T-72A,damaged,2
Ukraine,T-72A,destroyed,17
Ukraine,T-72AV,abandoned,1
Ukraine,T-72AV,captured,12
Ukraine,T-72AV,damaged,1
Ukraine,T-72AV,destroyed,14
Ukraine,T-72B,captured,8
Ukraine,T-72B,destroyed,12
Ukraine,T-72B Obr. 1989,abandoned,2
Ukraine,T-72B Obr. 1989,captured,6
Ukraine,T-72B Obr. 1989,damaged,3
Ukraine,T-72B Obr. 1989,destroyed,6
Ukraine,T-72B3,abandoned,4
Ukraine,T-72B3,captured,5
Ukraine,T-72B3,damaged,1
Ukraine,T-72B3,destroyed,4
Ukraine,T-72B3 Obr. 2016,abandoned,3
Ukraine,T-72B3 Obr. 2016,captured,7
Ukraine,T-72B3 Obr. 2016,damaged,1
Ukraine,T-72B3 Obr. 2016,destroyed,3
Ukraine,T-80BV,abandoned,4
Ukraine,T-80BV,captured,5
Ukraine,T-80BV,damaged,1
Ukraine,T-80BV,destroyed,1
Ukraine,T-80BVM,abandoned,1
Ukraine,T-80BVM,captured,5
Ukraine,T-80BVM,destroyed,1
Ukraine,T-80U,abandoned,4
Ukraine,T-80U,captured,3
Ukraine,T-80U,destroyed,1
Ukraine,T-80UK,abandoned,2
Ukraine,T-80UK,captured,5
Ukraine,T-80UK,destroyed,1
Ukraine,T-90A,abandoned,1
Ukraine,T-90A,captured,3
Ukraine,T-90A,destroyed,1
Ukraine,TZM-T reloader vehicle (for TOS-1A),captured,1
Ukraine,Unknown AFV,captured,1
Ukraine,Unknown BTR-D/BMD-2,captured,1
Ukraine,Unknown tank,captured,4
Ukraine,Unknown tank,destroyed,1
Ukraine,Vityaz DT-30 articulated tracked carrier,abandoned,1
Ukraine,Vityaz DT-30 articulated tracked carrier,captured,1
