country,origin,system,status,matID,url
Russia,Soviet Union,Project 775 Ropucha class landing ship,damaged,71254,https://i.postimg.cc/k4zbP5Ff/13.png
Russia,Russia,Ural-4320,damaged,71355,https://i.postimg.cc/YSs02PPZ/k9.png
Russia,Russia,Ural-4320,damaged,71356,https://postimg.cc/kVDPCNz0
Russia,Russia,Ural-4320,damaged,71357,https://i.postimg.cc/xd8C4F47/tt2.png
Russia,Russia,Ural-4320,damaged,71373,https://i.postimg.cc/fR5byVj2/k88.jpg
Russia,Russia,KamAZ 6x6,damaged,71553,https://i.postimg.cc/kGnW3KWg/880.png
Russia,Russia,KamAZ 6x6,damaged,71554,https://i.postimg.cc/XYdzk891/5g.png
Russia,Russia,KamAZ 6x6,damaged,71555,https://postimg.cc/jWRY7hHb
Russia,Russia,KamAZ 6x6,damaged,71556,https://twitter.com/UAWeapons/status/1506960042347614218
Russia,Russia,KamAZ 6x6,damaged,71557,https://i.postimg.cc/GhDp0yzL/tt1.png
Russia,Russia,KamAZ 6x6,damaged,71577,https://i.postimg.cc/VkpkSLDj/f87.png
Russia,Russia,KamAZ 6x6,damaged,71578,https://i.postimg.cc/C1ZkcvPv/d3.png
Russia,Russia,KamAZ 6x6,damaged,71579,https://i.postimg.cc/Rhhng7p9/4r.png
Russia,Russia,KamAZ 6x6,damaged,71580,https://i.postimg.cc/bYTrvqnw/1t.png
Russia,Russia,KamAZ 6x6,damaged,71581,https://i.postimg.cc/Jn4wQ0L6/5411.jpg
Russia,Russia,KamAZ-6350 8x8 artillery tractor,damaged,71661,https://i.postimg.cc/br6jRJWd/Screenshot-8072.png
Russia,Russia,KamAZ-6350 8x8 artillery tractor,damaged,71662,https://i.postimg.cc/nczxh49m/Screenshot-8074.png
Russia,Russia,UAZ Patriot,damaged,71670,https://i.postimg.cc/tggdgvNx/54g.jpg
Russia,Russia,Armoured SUV,damaged,71673,https://i.postimg.cc/JhV6T907/329.png
Russia,Russia,Unknown truck,damaged,71721,https://i.postimg.cc/K834NwrF/67.jpg
Russia,Russia,Unknown truck,damaged,71722,https://postimg.cc/phTN0Xcc
Russia,Russia,Unknown truck,damaged,71723,https://postimg.cc/WDSL6J8J
Russia,Russia,Unknown truck,damaged,71724,https://i.postimg.cc/26pbyqvZ/v56.png
Ukraine,Soviet Union,T-64BV,damaged,3801766,https://i.postimg.cc/CLn96SZZ/f7.png
Ukraine,Soviet Union,T-64BV,damaged,3801772,https://i.postimg.cc/6QWhgDnj/j8.png
Ukraine,Ukraine,T-64B1M,damaged,3801800,https://i.postimg.cc/HxmWTxMP/3d1.png 
Ukraine,Soviet Union,T-80BV,damaged,3801810,https://i.postimg.cc/0jXKJsjL/f58.png
Ukraine,Soviet Union,BRM-1K,damaged,3801814,https://i.postimg.cc/tC4jmbcK/446.png
Ukraine,Soviet Union,MT-LBu,damaged,3801855,https://i.postimg.cc/ZYHxJ6rp/Screenshot-8036.png
Ukraine,Soviet Union,BMP-1(P),damaged,3801881,https://i.postimg.cc/vmNpXbHQ/gg2.png
Ukraine,Soviet Union,BMP-2,damaged,3801893,https://i.postimg.cc/cJfZ5HRh/547.jpg
Ukraine,Ukraine,BTR-4,damaged,3801904,https://twitter.com/RALee85/status/1497785823198162944
Ukraine,United States,HMMWV,damaged,3801952,https://i.postimg.cc/zX4hRNMG/4799.png
Ukraine,Ukraine,Novator,damaged,3801958,https://i.postimg.cc/MKMkcgwH/776.png
Ukraine,Ukraine,Kozak-2,damaged,3801973,https://i.postimg.cc/1XzJ7nhW/d2g.png
Ukraine,Ukraine,Unknown towed artillery,damaged,3802022,https://i.postimg.cc/BnNpxWwv/33.jpg 
Ukraine,Ukraine,Unknown towed artillery,damaged,3802023,https://i.postimg.cc/J0jdMrPN/900.jpg
Ukraine,Soviet Union,122mm 2S1 Gvozdika,damaged,3802031,https://i.postimg.cc/TwZV2tLf/799.jpg
Ukraine,Soviet Union,203mm 2S7 Pion,damaged,3802039,https://i.postimg.cc/K8pQghtB/790.png
Ukraine,Soviet Union,9K35 Strela-10,damaged,3802066,https://postimg.cc/SYK0f1pm
Ukraine,Soviet Union,P-14 'Tall King',damaged,3802069,https://i.postimg.cc/rpWmrPLb/57.png
Ukraine,Soviet Union,1L22 'Parol',damaged,3802074,https://postimg.cc/9Dcvz02c
Ukraine,United States,AN/TPQ-36 lightweight counter mortar radar,damaged,3802077,https://twitter.com/UAWeapons/status/1505623206014636035
Ukraine,Soviet Union,Su-25 attack aircraft,damaged,3802089,https://twitter.com/UAWeapons/status/1506317219000721412
Ukraine,Ukraine,KrAZ-6322,damaged,3802120,https://i.postimg.cc/wM4RWy5K/r3.png
Ukraine,Soviet Union,GAZ-66,damaged,3802144,https://i.postimg.cc/gjhmvGsF/g3.png
Ukraine,Soviet Union,GAZ-66,damaged,3802145,https://i.postimg.cc/YC0mqTkH/58.png
Ukraine,Soviet Union,GAZ-66,damaged,3802146,https://i.postimg.cc/gj9TG17c/Screenshot-8228.png
Ukraine,Soviet Union,KamAZ,damaged,3802229,https://i.postimg.cc/yx42BBdm/u1.png
Ukraine,Belarus,MAZ,damaged,3802240,https://i.postimg.cc/9fRbHBdp/f3.png
Ukraine,Ukraine,Unknown truck,damaged,3802260,https://i.postimg.cc/4xBF4TJG/37.jpg
Ukraine,Ukraine,Unknown truck,damaged,3802261,https://i.postimg.cc/J0jdMrPN/900.jpg
Ukraine,Ukraine,Unknown truck,damaged,3802262,https://i.postimg.cc/3Jzj3bLL/bnm.png
Ukraine,Ukraine,Unknown truck,damaged,3802263,https://i.postimg.cc/SRtv4JHH/1dg.png
