country,origin,system,status,url,date_recorded,sysID,imageID,statusID,matID
Russia,Russia,1 R-416GM radio relay station,damaged,https://i.postimg.cc/KjTFjMSQ/1028-R-416-GM-radio-relay-station-dam-13-06-24.jpg,2024-06-16,179,379,3,7-1793793
Russia,Russia,1 STS Sarmat-3,damaged,https://i.postimg.cc/wTRh0CDP/1055-STS-Sarmat-3-dam-23-10-24.jpg,2024-10-27,191,391,3,7-1913913
Russia,Soviet Union,1 Stenka-class patrol boat,damaged,https://i.postimg.cc/dt1W6k0n/1009-Project-205-P-Tarantul-class-border-patrol-ship-dam-29-12-23.jpg,2024-04-28,195,395,3,7-1953953
Russia,Soviet Union,1 Su-27 multirole aircraft,damaged,https://twitter.com/RALee85/status/1635691846977433616,2023-03-16,196,396,3,7-1963963
Russia,Russia,1 Su-57 Stealth multirole fighter,damaged,https://i.postimg.cc/q7jfGV73/1000-su57-dam-08-06-24.jpg,2024-06-09,198,398,3,7-1983983
Russia,Soviet Union,1 T-54-3M,damaged,https://i.postimg.cc/s29RHpfN/1036-T-54-3-M-dam-aband-21-02-24.jpg,2024-02-23,202,403,3,7-2024033
Russia,Soviet Union,1 T-55,damaged,https://i.postimg.cc/jdFBJdQb/1027-t55-dam-05-08-23.jpg,2023-08-09,204,405,3,7-2044053
Russia,Soviet Union,1 T-62MV,damaged,https://twitter.com/UAWeapons/status/1577189346587082752,2022-10-05,210,411,3,7-2104113
Russia,Soviet Union,1 Tu-22M3 strategic bomber,damaged,https://i.postimg.cc/9QQZqq8t/559.png,2022-12-06,226,428,3,7-2264283
Russia,Soviet Union,1 Tu-95MS strategic bomber,damaged,https://i.postimg.cc/DycJR6ZF/68.png,2022-12-08,227,429,3,7-2274293
Russia,Soviet Union,1 Unknown MT-LBu variant,damaged,https://i.postimg.cc/yd5p4vYg/1008-Buk-M3-dam-20-10-23.jpg,2023-10-22,235,437,3,7-2354373
Russia,Russia,1 Unknown Tor variant,damaged,https://i.postimg.cc/d0WhSC70/1026-Launcher-for-Tor-dam-02-07-23.jpg,2023-07-14,238,440,3,7-2384403
Russia,Russia,"1 VPK-59095S ""VPK-Ural""",damaged,https://i.postimg.cc/fTmSMP32/1036-VPK-59095-S-VPK-Ural-dam-13-10-23.jpg,2023-10-15,255,457,3,7-2554573
Russia,Russia,1 ZSA-Т Armoured Ambulance,damaged,https://i.postimg.cc/Vs7Q6c9C/1056-ZSA-Armoured-Ambulance-dam-21-01-24.jpg,2024-01-24,259,461,3,7-2594613
Russia,Russia,10 BMP-2M 675-sb3KDZ,damaged,https://i.postimg.cc/hvsT7fqR/1318-BMP-2-M-675-sb3-KDZ-dam-aband-21-10-24.jpg,2024-10-23,281,487,3,7-2814873
Russia,Russia,10 KamAZ-5350 with armoured cab,damaged,https://twitter.com/UAWeapons/status/1568344642105532418,2022-09-10,292,502,3,7-2925023
Russia,Soviet Union,10 Tu-95MS strategic bomber,damaged,https://x.com/MarcinRogowsk14/status/1948108094807932987,2025-07-27,307,520,3,7-3075203
Russia,Soviet Union,10 UAZ-452 van,damaged,https://i.postimg.cc/Hk2737Xj/1005-uaz452.jpg,2022-08-08,310,524,3,7-3105243
Russia,Soviet Union,1003 BMP-2(K),damaged,https://i.postimg.cc/c1RSYb7Q/1005-16-10-23.jpg,2023-10-18,326,561,3,7-3265613
Russia,Soviet Union,101 122mm BM-21 Grad,damaged,https://i.postimg.cc/rsCtznQq/1000-bm21-dam-31-01-23.jpg,2023-02-03,330,570,3,7-3305703
Russia,Soviet Union,1019 BMP-2(K),damaged,https://i.postimg.cc/8k7gWzN9/1043-bmp2-dam-22-10-23.jpg,2023-10-28,341,603,3,7-3416033
Russia,Soviet Union,1019 BMP-2(K),damaged,https://i.postimg.cc/FHtWY9Hy/1026-bmp2-dam-aband-24-10-23.jpg,2023-10-28,341,604,3,7-3416043
Russia,Soviet Union,102 T-80BV,damaged,https://twitter.com/UAWeapons/status/1572198403517419523,2022-09-22,347,616,3,7-3476163
Russia,Soviet Union,1021 BMP-2(K),damaged,https://i.postimg.cc/brS69FkB/1038-BMP-2-K-dam-22-10-23.jpg,2023-10-25,355,640,3,7-3556403
Russia,Soviet Union,1029 BMP-2(K),damaged,https://i.postimg.cc/fR4pJxQy/1006-bmp2-dam-aband-20-10-23.jpg,2023-11-02,360,655,3,7-3606553
Russia,Soviet Union,103 152mm 2A65 Msta-B howitzer,damaged,https://i.postimg.cc/15Kzks2R/1002-Msta-B-dam-09-08-23.jpg,2023-08-12,363,666,3,7-3636663
Russia,Soviet Union,103 152mm 2S19 Msta-S,damaged,https://twitter.com/UAWeapons/status/1624140520535560202,2023-02-12,364,667,3,7-3646673
Russia,Soviet Union,103 T-72B Obr. 1989,damaged,https://i.postimg.cc/RC7s855Y/1016-t72b1989-dam-aband-06-03-24.jpg,2024-04-08,367,678,3,7-3676783
Russia,Soviet Union,103 T-72B Obr. 1989,damaged,https://i.postimg.cc/XvBxktkQ/1024-t72b1989-dam-aband.png,2024-04-08,367,679,3,7-3676793
Russia,Soviet Union,104 152mm 2S19 Msta-S,damaged,https://i.postimg.cc/3wBPMFVV/1007-msta-s-dam-10-02-23.jpg,2023-02-21,378,701,3,7-3787013
Russia,Soviet Union,104 BMP-1(P),damaged,https://i.postimg.cc/906fchkJ/1004.jpg,2022-07-08,379,704,3,7-3797043
Russia,Soviet Union,1044 BMP-2(K),damaged,https://i.postimg.cc/C5NLY96W/1037-2x-dam-aband-bmp2-1x-brem-1-aband-08-11-23.jpg,2023-11-10,392,736,3,7-3927363
Russia,Soviet Union,1046 BMP-2(K),damaged,https://i.postimg.cc/XNRKK3g7/1010-1x-destr-2x-dam-aband-bmp2-11-11-23.jpg,2023-11-14,395,744,3,7-3957443
Russia,Soviet Union,105 152mm 2A65 Msta-B howitzer,damaged,https://i.postimg.cc/KYGDXkhW/1000-msta-b-dam-16-08-23.jpg,2023-08-21,399,752,3,7-3997523
Russia,Russia,105 T-80BVM,damaged,https://i.postimg.cc/26Nz63yR/1023-2x-bmp2-destr-2x-t72b-destr-T-80-BVM-abandoned-15-06-23.jpg,2023-11-24,405,760,3,7-4057603
Russia,Soviet Union,1052 BMP-2(K),damaged,https://i.postimg.cc/P5MjxXgB/1022-bmp2-dam-aband-16-11-23.jpg,2023-11-20,409,770,3,7-4097703
Russia,Soviet Union,1057 BMP-2(K),damaged,https://i.postimg.cc/sx548Vzw/1052-bmp2-dam-19-11-23.jpg,2023-11-27,411,774,3,7-4117743
Russia,Soviet Union,1057 BMP-2(K),damaged,https://twitter.com/666_mancer/status/1729869188200878223,2023-12-01,411,775,3,7-4117753
Russia,Soviet Union,1059 BMP-2(K),damaged,https://i.postimg.cc/qMDbsMNN/1003-bmp2-dam-aband-07-12-23.jpg,2023-12-10,412,778,3,7-4127783
Russia,Soviet Union,106 152mm 2A65 Msta-B howitzer,damaged,https://i.postimg.cc/6ptgzzG6/1003-Msta-B-dam-30-06-23.jpg,2023-08-24,414,780,3,7-4147803
Russia,Soviet Union,106 152mm 2S19 Msta-S,damaged,https://i.postimg.cc/wB6gvVZn/1030-msta-s-dam-22-02-23.jpg,2023-02-23,415,782,3,7-4157823
Russia,Russia,106 T-80BV Obr. 2022,damaged,https://i.postimg.cc/MTWJ3mRg/1007-T-80-Obr-2022-dam-aband-15-12-24.jpg,2025-05-30,420,792,3,7-4207923
Russia,Russia,106 T-80BVM,damaged,https://i.postimg.cc/2jP46K1C/1029-t80bvm-dam-aband-03-12-23.jpg,2023-12-08,421,793,3,7-4217933
Russia,Russia,1060 KamAZ 6x6,damaged,https://i.postimg.cc/BbrGJXKs/1128-Kam-AZ-6x6-dam-07-10-24.jpg,2024-10-22,424,810,3,7-4248103
Russia,Soviet Union,1063 BMP-2(K),damaged,https://i.postimg.cc/sxqKXn8h/1045-bmp2-dam-aband-19-10-23.jpg,2023-12-13,426,815,3,7-4268153
Russia,Soviet Union,1063 BMP-2(K),damaged,https://i.postimg.cc/DzTjLMzQ/1065-bmp2-dam-aband-11-12-23.jpg,2023-12-13,426,816,3,7-4268163
