country,origin,system,status,matID,url
Russia,Soviet Union,T-64BV,damaged,74,https://i.postimg.cc/DfYzLMQ3/v60.png
Russia,Soviet Union,T-72B,damaged,731,https://i.postimg.cc/HLqxBrSK/4fa.png
Russia,Soviet Union,T-72B,damaged,732,https://i.postimg.cc/8zz8WcH7/763.png
Russia,Soviet Union,T-72B,damaged,738,https://i.postimg.cc/Bv3rSysY/33213.png
Russia,Russia,T-72B Obr. 1989,damaged,764,https://i.postimg.cc/Sx58mgzj/480.png
Russia,Russia,T-72B3,damaged,776,https://i.postimg.cc/zfTsVnsF/579.png 
Russia,Russia,T-72B3 Obr. 2016,damaged,7118,https://i.postimg.cc/9Mhg9B0b/4g2.png
Russia,Russia,T-80U,damaged,7176,https://i.postimg.cc/Pf2gzrfP/f5.png
Russia,Russia,Unknown tank,damaged,7242,https://i.postimg.cc/44SFGsk4/4373.png
Russia,Russia,Unknown tank,damaged,7243,https://i.postimg.cc/gj3F2623/541.png
Russia,Russia,R-149MA1 command and staff vehicle,damaged,7372,https://i.postimg.cc/jSgsKMn3/g553.jpg
Russia,Russia,R-149MA3 command and staff vehicle,damaged,7380,https://i.postimg.cc/q7W198PZ/f431.png
Russia,Soviet Union,BMP-1(P),damaged,7422,https://postimg.cc/DJp7JbvH
Russia,Soviet Union,BMP-2,damaged,7475,https://i.postimg.cc/vBy9TRg0/77699.png
Russia,Soviet Union,BMP-2,damaged,7476,https://i.postimg.cc/XYyYKfsy/Screenshot-8236.png
Russia,Soviet Union,BMP-2,damaged,7477,https://i.postimg.cc/2jX5hmCS/u1.jpg
Russia,Soviet Union,BMP-2,damaged,7487,https://i.postimg.cc/RhxT6Pz9/663.png
Russia,Soviet Union,BMP-2,damaged,7488,https://i.postimg.cc/rF84w7J1/fsl.png
Russia,Russia,BMP-3,damaged,7526,https://i.postimg.cc/HxnCghHt/446.jpg
Russia,Soviet Union,BMD-2,damaged,7553,https://i.postimg.cc/hvdB25Hw/j2.jpg
Russia,Soviet Union,BMD-2,damaged,7560,https://i.postimg.cc/MTmVp6Hz/c5.png
Russia,Russia,BTR-82A,damaged,7618,https://i.postimg.cc/RZQbNvvr/54.jpg
Russia,Russia,BTR-82A,damaged,7619,https://i.postimg.cc/j5kxgNCW/g66.jpg
Russia,Russia,BTR-82A,damaged,7627,https://i.postimg.cc/BbS69p4N/66588.png
Russia,Soviet Union,BTR-80,damaged,7662,https://i.postimg.cc/HsQGV9qw/nm.jpg
Russia,Russia,GAZ Tigr-M,damaged,7744,https://i.postimg.cc/ZKDrDbck/85.png
Russia,Russia,GAZ Tigr-M,damaged,7745,https://i.postimg.cc/vZRf920n/t1.jpg
Russia,Russia,GAZ Tigr-M,damaged,7746,https://i.postimg.cc/qv8nGcF5/t2.jpg
Russia,Russia,GAZ Tigr-M,damaged,7747,https://i.postimg.cc/25GZskrd/t3.jpg
Russia,Italy,Iveco LMV 'Rys',damaged,7774,https://i.postimg.cc/4xrt6Lwt/542.png
Russia,Russia,Unknown communications station based on the KamAZ 6x6,damaged,7786,https://i.postimg.cc/DfxxKLnD/84.png
Russia,Soviet Union,TMM-3 bridge layer,damaged,7808,https://i.postimg.cc/85dm6pjK/44565.png
Russia,Russia,Ural-4320 KET-L,damaged,7827,https://i.postimg.cc/SsQHDVNQ/5579.png  
Russia,Soviet Union,152mm 2A65 Msta-B howitzer,damaged,7875,https://i.postimg.cc/yYx8J43v/Screenshot-8073.png
Russia,Soviet Union,152mm 2A65 Msta-B howitzer,damaged,7877,https://i.postimg.cc/yYx8J43v/Screenshot-8073.png
Russia,Soviet Union,122mm BM-21 'Grad',damaged,7930,https://i.postimg.cc/s2wR9DPH/768.png
Russia,Russia,2K22M1 Tunguska,damaged,7949,https://i.postimg.cc/9MqLyHJZ/764.png
Russia,Soviet Union,9K33 Osa,damaged,7954,https://i.postimg.cc/PxkdsRX3/438.png
Russia,Russia,9A310M1 TELAR (for Buk-M1-2),damaged,7966,https://i.postimg.cc/DZXDG2k3/779.png
Russia,Soviet Union,9A330 Tor TLAR (for 9K330 Tor-M),damaged,7975,https://i.postimg.cc/mgHPxQR3/5k.png
Russia,Russia,R-330BMV Borisoglebsk-2B,damaged,7992,https://i.postimg.cc/wvzPRKsx/333.png
Russia,Soviet Union,Su-25 close air support aircraft,damaged,71001,https://i.postimg.cc/zBVmRBJ2/h9.png
Russia,Russia,Unknown Mi-24/35 attack helicopter,damaged,71029,https://i.postimg.cc/HxryM4jS/Screenshot-8449.png
Russia,Russia,Ka-52 'Alligator' attack helicopter,damaged,71034,https://twitter.com/azyakancokkacan/status/1504785437902188573
Russia,Russia,Ka-52 'Alligator' attack helicopter,damaged,71035,https://postimg.cc/jCmC8Nx5
Russia,Russia,Ka-52 'Alligator' attack helicopter,damaged,71036,https://i.postimg.cc/Zqj182jJ/987.png
Russia,Russia,Unknown helicopter,damaged,71039,https://i.postimg.cc/QxT5hQNx/421.png
Russia,Russia,Ural-4320,damaged,71130,https://i.postimg.cc/YSs02PPZ/k9.png
Russia,Russia,Ural-4320,damaged,71131,https://postimg.cc/kVDPCNz0
